kab_kode,kab_nama,kec_kode,kec_nama,desa_kode,desa_nama
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2001,"ISIMU UTARA"
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2002,"ISIMU SELATAN"
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2003,DATAHU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2004,TOLOTIO
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2005,LABANU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2006,REKSONEGORO
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2007,BUHU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2008,DUNGGALA
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2009,MOLOWAHU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2010,ILOPONU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2011,ILOMATA
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2012,MOTILANGO
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2013,"ISIMU RAYA"
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2014,BALAHU
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2015,BOTUMOPUTI
75.01,"KABUPATEN GORONTALO",75.01.04,TIBAWA,75.01.04.2016,ULOBUA
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2001,DULAMAYO
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2008,UPOMELA
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2009,TOHUPO
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2010,MOLANIHU
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2011,MOLOPATODU
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2012,MOLAS
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2013,BATULAYAR
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2014,BATULORENG
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2015,BONGOHULAWA
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2016,OTOPADE
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2018,"HUNTULO HULAWA"
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2022,OWALANGA
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2023,LIYODU
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2024,LIYOTO
75.01,"KABUPATEN GORONTALO",75.01.11,BONGOMEME,75.01.11.2025,KAYUMERAH
75.01,"KABUPATEN GORONTALO",75.01.10,"TELAGA BIRU",75.01.10.2001,"DULAMAYO UTARA"
75.01,"KABUPATEN GORONTALO",75.01.10,"TELAGA BIRU",75.01.10.2002,"ULAPATO A"
75.01,"KABUPATEN GORONTALO",75.01.10,"TELAGA BIRU",75.01.10.2003,"ULAPATO B"
75.01,"KABUPATEN GORONTALO",75.01.10,"TELAGA BIRU",75.01.10.2004,TALUMELITO
75.01,"KABUPATEN GORONTALO",75.01.10,"TELAGA BIRU",75.01.10.2005,TULADENGGI
